T2, gr. Cels	J, mA	U, V	R, Ohm	delta_T	Tcp	K_exp	K_tabl
23.1	198.550	.76290	.38424e+1	.1272e+2	.2946e+2	.2361e-1	.2636e-1
23.4	207.530	.79920	.38510e+1	.1315e+2	.2998e+2	.2500e-1	.2640e-1
23.5	214.550	.82710	.38550e+1	.1341e+2	.3020e+2	.2625e-1	.2642e-1
23.6	230.790	.89130	.38620e+1	.1394e+2	.3057e+2	.2928e-1	.2645e-1
23.6	238.680	.92300	.38671e+1	.1442e+2	.3082e+2	.3030e-1	.2647e-1
42.6	198.060	.81500	.41149e+1	.1316e+2	.4918e+2	.2430e-1	.2790e-1
42.7	206.180	.84960	.41207e+1	.1358e+2	.4949e+2	.2556e-1	.2793e-1
42.8	213.930	.88200	.41228e+1	.1366e+2	.4963e+2	.2738e-1	.2794e-1
42.6	228.960	.94620	.41326e+1	.1486e+2	.5003e+2	.2893e-1	.2797e-1
42.6	237.420	.98210	.41366e+1	.1524e+2	.5022e+2	.3038e-1	.2799e-1